7zip	23.01+dfsg-11
adduser	3.137ubuntu1
amd64-microcode	3.20250311.1ubuntu0.24.04.1
apache2	2.4.58-1ubuntu8.8
apache2-bin	2.4.58-1ubuntu8.8
apache2-data	2.4.58-1ubuntu8.8
apache2-utils	2.4.58-1ubuntu8.8
apparmor	4.0.1really4.0.1-0ubuntu0.24.04.4
apport	2.28.1-0ubuntu3.8
apport-symptoms	0.25
appstream	1.0.2-1build6
apt	2.8.3
apt-utils	2.8.3
aspell	0.60.8.1-1build1
aspell-en	2020.12.07-0-1
awstats	7.9-1
base-files	13ubuntu10.3
base-passwd	3.6.3build1
bash	5.2.21-2ubuntu4
bash-completion	1:2.11-8
bc	1.07.1-3ubuntu4
bcache-tools	1.0.8-5build1
bind9	1:9.18.39-0ubuntu0.24.04.2
bind9-dnsutils	1:9.18.39-0ubuntu0.24.04.2
bind9-host	1:9.18.39-0ubuntu0.24.04.2
bind9-libs	1:9.18.39-0ubuntu0.24.04.2
bind9-utils	1:9.18.39-0ubuntu0.24.04.2
binutils-common	2.42-4ubuntu2.7
bolt	0.9.7-1
bpfcc-tools	0.29.1+ds-1ubuntu7
bpftrace	0.20.2-1ubuntu4.3
bsdextrautils	2.39.3-9ubuntu6.3
bsdutils	1:2.39.3-9ubuntu6.3
btrfs-progs	6.6.3-1.1build2
busybox-initramfs	1:1.36.1-6ubuntu3.1
busybox-static	1:1.36.1-6ubuntu3.1
byobu	6.11-0ubuntu1
bzip2	1.0.8-5.1build0.1
ca-certificates	20240203
clamav	1.4.3+dfsg-0ubuntu0.24.04.1
clamav-base	1.4.3+dfsg-0ubuntu0.24.04.1
clamav-daemon	1.4.3+dfsg-0ubuntu0.24.04.1
clamav-freshclam	1.4.3+dfsg-0ubuntu0.24.04.1
clamdscan	1.4.3+dfsg-0ubuntu0.24.04.1
cloud-guest-utils	0.33-1
cloud-init	25.2-0ubuntu1~24.04.1
command-not-found	23.04.0
console-setup	1.226ubuntu1
console-setup-linux	1.226ubuntu1
coreutils	9.4-3ubuntu6.1
cpio	2.15+dfsg-1ubuntu2
cron	3.0pl1-184ubuntu2
cryptsetup	2:2.7.0-1ubuntu4.2
cryptsetup-bin	2:2.7.0-1ubuntu4.2
cryptsetup-initramfs	2:2.7.0-1ubuntu4.2
curl	8.5.0-2ubuntu10.6
dash	0.5.12-6ubuntu5
dbus	1.14.10-4ubuntu4.1
dbus-bin	1.14.10-4ubuntu4.1
dbus-daemon	1.14.10-4ubuntu4.1
dbus-user-session	1.14.10-4ubuntu4.1
debconf	1.5.86ubuntu1
debconf-i18n	1.5.86ubuntu1
debianutils	5.17build1
dhcpcd-base	1:10.0.6-1ubuntu3.1
dictionaries-common	1.29.7
diffutils	1:3.10-1build1
dirmngr	2.4.4-2ubuntu17.3
distro-info	1.7build1
distro-info-data	0.60ubuntu0.5
dmeventd	2:1.02.185-3ubuntu3.2
dmidecode	3.5-3ubuntu0.1
dmsetup	2:1.02.185-3ubuntu3.2
dns-root-data	2024071801~ubuntu0.24.04.1
dosfstools	4.2-1.1build1
dovecot-core	1:2.3.21+dfsg1-2ubuntu6.1
dovecot-imapd	1:2.3.21+dfsg1-2ubuntu6.1
dovecot-lmtpd	1:2.3.21+dfsg1-2ubuntu6.1
dovecot-mysql	1:2.3.21+dfsg1-2ubuntu6.1
dovecot-pop3d	1:2.3.21+dfsg1-2ubuntu6.1
dovecot-sieve	1:2.3.21+dfsg1-2ubuntu6.1
dpkg	1.22.6ubuntu6.5
dracut-install	060+5-1ubuntu3.3
e2fsprogs	1.47.0-2.4~exp1ubuntu4.1
e2fsprogs-l10n	1.47.0-2.4~exp1ubuntu4.1
eatmydata	131-1ubuntu1
ed	1.20.1-1
eject	2.39.3-9ubuntu6.3
emacsen-common	3.0.5
ethtool	1:6.7-1build1
fail2ban	1.0.2-3ubuntu0.1
fdisk	2.39.3-9ubuntu6.3
file	1:5.45-3build1
finalrd	9build1
findutils	4.9.0-5build1
firmware-sof-signed	2023.12.1-1ubuntu1.10
fontconfig	2.15.0-1.1ubuntu2
fontconfig-config	2.15.0-1.1ubuntu2
fonts-dejavu-core	2.37-8
fonts-dejavu-mono	2.37-8
fonts-droid-fallback	1:6.0.1r16-1.1build1
fonts-noto-mono	20201225-2
fonts-ubuntu-console	0.869+git20240321-0ubuntu1
fonts-urw-base35	20200910-8
friendly-recovery	0.2.42
ftp	20230507-2build3
fuse3	3.14.0-5build1
fwupd	1.9.31-0ubuntu1~24.04.1
fwupd-signed	1.52+1.4-1
galera-4	26.4.16-2build4
gawk	1:5.2.1-2build3
gcc-14-base	14.2.0-4ubuntu2~24.04
gdisk	1.0.10-1build1
gettext-base	0.21-14ubuntu2
ghostscript	10.02.1~dfsg1-0ubuntu7.8
gir1.2-glib-2.0	2.80.0-6ubuntu3.5
git	1:2.43.0-1ubuntu7.3
git-man	1:2.43.0-1ubuntu7.3
gnupg	2.4.4-2ubuntu17.3
gnupg-l10n	2.4.4-2ubuntu17.3
gnupg-utils	2.4.4-2ubuntu17.3
gpg	2.4.4-2ubuntu17.3
gpg-agent	2.4.4-2ubuntu17.3
gpg-wks-client	2.4.4-2ubuntu17.3
gpgconf	2.4.4-2ubuntu17.3
gpgsm	2.4.4-2ubuntu17.3
gpgv	2.4.4-2ubuntu17.3
grep	3.11-4build1
groff-base	1.23.0-3build2
grub-common	2.12-1ubuntu7.3
grub-gfxpayload-lists	0.7build2
grub-pc	2.12-1ubuntu7.3
grub-pc-bin	2.12-1ubuntu7.3
grub2-common	2.12-1ubuntu7.3
gzip	1.12-1ubuntu3.1
hdparm	9.65+ds-1build1
hicolor-icon-theme	0.17-2
hostname	3.23+nmu2ubuntu2
htop	3.3.0-4build1
hwdata	0.379-1
ibverbs-providers	50.0-2ubuntu0.2
ieee-data	20220827.1
imagemagick	8:6.9.12.98+dfsg1-5.2build2
imagemagick-6.q16	8:6.9.12.98+dfsg1-5.2build2
inetutils-telnet	2:2.5-3ubuntu4
info	7.1-3build2
init	1.66ubuntu1
init-system-helpers	1.66ubuntu1
initramfs-tools	0.142ubuntu25.5
initramfs-tools-bin	0.142ubuntu25.5
initramfs-tools-core	0.142ubuntu25.5
install-info	7.1-3build2
intel-microcode	3.20250812.0ubuntu0.24.04.1
iproute2	6.1.0-1ubuntu6.2
iptables	1.8.10-3ubuntu2
iputils-ping	3:20240117-1ubuntu0.1
iputils-tracepath	3:20240117-1ubuntu0.1
isa-support	21build1
iso-codes	4.16.0-1
iucode-tool	2.3.1-3build1
jq	1.7.1-3ubuntu0.24.04.1
kbd	2.6.4-2ubuntu2
keyboxd	2.4.4-2ubuntu17.3
klibc-utils	2.0.13-4ubuntu0.1
kmod	31+20240202-2ubuntu7.1
kpartx	0.9.4-5ubuntu8
krb5-locales	1.20.1-6ubuntu2.6
landscape-common	24.02-0ubuntu5.7
less	590-2ubuntu2.1
libacl1	2.3.2-1build1.1
libaio1t64	0.3.113-6build1.1
libaom3	3.8.2-2ubuntu0.1
libapache2-mod-fcgid	1:2.3.9-4
libapparmor1	4.0.1really4.0.1-0ubuntu0.24.04.4
libappstream5	1.0.2-1build6
libapr1t64	1.7.2-3.1ubuntu0.1
libaprutil1-dbd-sqlite3	1.6.3-1.1ubuntu7
libaprutil1-ldap	1.6.3-1.1ubuntu7
libaprutil1t64	1.6.3-1.1ubuntu7
libapt-pkg6.0t64	2.8.3
libarchive13t64	3.7.2-2ubuntu0.5
libargon2-1	0~20190702+dfsg-4build1
libaspell15	0.60.8.1-1build1
libassuan0	2.5.6-1build1
libatasmart4	0.19-5build3
libatm1t64	1:2.5.1-5.1build1
libatomic1	14.2.0-4ubuntu2~24.04
libattr1	1:2.5.2-1build1.1
libaudit-common	1:3.1.2-2.1build1.1
libaudit1	1:3.1.2-2.1build1.1
libavahi-client3	0.8-13ubuntu6
libavahi-common3	0.8-13ubuntu6
libbinutils	2.42-4ubuntu2.7
libblkid1	2.39.3-9ubuntu6.3
libblockdev-crypto3	3.1.1-1ubuntu0.1
libblockdev-fs3	3.1.1-1ubuntu0.1
libblockdev-loop3	3.1.1-1ubuntu0.1
libblockdev-mdraid3	3.1.1-1ubuntu0.1
libblockdev-nvme3	3.1.1-1ubuntu0.1
libblockdev-part3	3.1.1-1ubuntu0.1
libblockdev-swap3	3.1.1-1ubuntu0.1
libblockdev-utils3	3.1.1-1ubuntu0.1
libblockdev3	3.1.1-1ubuntu0.1
libbpf1	1:1.3.0-2build2
libbpfcc	0.29.1+ds-1ubuntu7
libbrotli1	1.1.0-2build2
libbsd0	0.12.1-1build1.1
libbytesize-common	2.10-1ubuntu2
libbytesize1	2.10-1ubuntu2
libbz2-1.0	1.0.8-5.1build0.1
libc-bin	2.39-0ubuntu8.6
libc-dev-bin	2.39-0ubuntu8.6
libc-devtools	2.39-0ubuntu8.6
libc6	2.39-0ubuntu8.6
libc6-dev	2.39-0ubuntu8.6
libcairo2	1.18.0-3build1
libcap-ng0	0.8.4-2build2
libcap2	1:2.66-5ubuntu2.2
libcap2-bin	1:2.66-5ubuntu2.2
libcbor0.10	0.10.2-1.2ubuntu2
libcgi-fast-perl	1:2.17-1
libcgi-pm-perl	4.63-1
libclamav12	1.4.3+dfsg-0ubuntu0.24.04.1
libclang-cpp18	1:18.1.3-1ubuntu1
libclang1-18	1:18.1.3-1ubuntu1
libclone-perl	0.46-1build3
libcom-err2	1.47.0-2.4~exp1ubuntu4.1
libconfig-inifiles-perl	3.000003-2
libcrypt-dev	1:4.4.36-4build1
libcrypt1	1:4.4.36-4build1
libcryptsetup12	2:2.7.0-1ubuntu4.2
libcups2t64	2.4.7-1.2ubuntu7.9
libcurl3t64-gnutls	8.5.0-2ubuntu10.6
libcurl4t64	8.5.0-2ubuntu10.6
libdatrie1	0.2.13-3build1
libdb5.3t64	5.3.28+dfsg2-7
libdbd-mysql-perl	4.052-1ubuntu3
libdbi-perl	1.643-4build3
libdbi1t64	0.9.0-6.1build1
libdbus-1-3	1.14.10-4ubuntu4.1
libdbus-glib-1-2	0.112-3build2
libde265-0	1.0.15-1build3
libdebconfclient0	0.271ubuntu3
libdeflate0	1.19-1build1.1
libdevmapper1.02.1	2:1.02.185-3ubuntu3.2
libdjvulibre-text	3.5.28-2ubuntu0.24.04.1
libdjvulibre21	3.5.28-2ubuntu0.24.04.1
libdrm-common	2.4.122-1~ubuntu0.24.04.2
libdrm2	2.4.122-1~ubuntu0.24.04.2
libduktape207	2.7.0+tests-0ubuntu3
libdw1t64	0.190-1.1ubuntu0.1
libeatmydata1	131-1ubuntu1
libedit2	3.1-20230828-1build1
libefiboot1t64	38-3.1build1
libefivar1t64	38-3.1build1
libelf1t64	0.190-1.1ubuntu0.1
libencode-locale-perl	1.05-3
liberror-perl	0.17029-2
libestr0	0.1.11-1build1
libevdev2	1.13.1+dfsg-1build1
libexpat1	2.6.1-2ubuntu0.3
libext2fs2t64	1.47.0-2.4~exp1ubuntu4.1
libexttextcat-2.0-0	3.4.7-1build1
libexttextcat-data	3.4.7-1build1
libfastjson4	1.2304.0-1build1
libfcgi-bin	2.4.2-2.1ubuntu0.24.04.1
libfcgi-perl	0.82+ds-3build2
libfcgi0t64	2.4.2-2.1ubuntu0.24.04.1
libfdisk1	2.39.3-9ubuntu6.3
libffi8	3.4.6-1build1
libfftw3-double3	3.3.10-1ubuntu3
libfido2-1	1.14.0-1build3
libflashrom1	1.3.0-2.1ubuntu2
libfontconfig1	2.15.0-1.1ubuntu2
libfontenc1	1:1.1.8-1build1
libfreetype6	2.13.2+dfsg-1build3
libfribidi0	1.0.13-3build1
libftdi1-2	1.5-6build5
libfuse3-3	3.14.0-5build1
libfwupd2	1.9.31-0ubuntu1~24.04.1
libgcc-s1	14.2.0-4ubuntu2~24.04
libgcrypt20	1.10.3-2build1
libgd3	2.3.3-9ubuntu5
libgdbm-compat4t64	1.23-5.1build1
libgdbm6t64	1.23-5.1build1
libgirepository-1.0-1	1.80.1-1
libglib2.0-0t64	2.80.0-6ubuntu3.5
libglib2.0-bin	2.80.0-6ubuntu3.5
libglib2.0-data	2.80.0-6ubuntu3.5
libgmp10	2:6.3.0+dfsg-2ubuntu6.1
libgnutls30t64	3.8.3-1.1ubuntu3.4
libgomp1	14.2.0-4ubuntu2~24.04
libgpg-error-l10n	1.47-3build2.1
libgpg-error0	1.47-3build2.1
libgpgme11t64	1.18.0-4.1ubuntu4
libgpm2	1.20.7-11
libgraphite2-3	1.3.14-2build1
libgs-common	10.02.1~dfsg1-0ubuntu7.8
libgs10	10.02.1~dfsg1-0ubuntu7.8
libgs10-common	10.02.1~dfsg1-0ubuntu7.8
libgssapi-krb5-2	1.20.1-6ubuntu2.6
libgstreamer1.0-0	1.24.2-1ubuntu0.1
libgudev-1.0-0	1:238-5ubuntu1
libgusb2	0.4.8-1build2
libharfbuzz0b	8.3.0-2build2
libhashkit2t64	1.1.4-1.1build3
libheif-plugin-aomdec	1.17.6-1ubuntu4.1
libheif-plugin-aomenc	1.17.6-1ubuntu4.1
libheif1	1.17.6-1ubuntu4.1
libhiredis1.1.0	1.2.0-6ubuntu3
libhogweed6t64	3.9.1-2.2build1.1
libhtml-parser-perl	3.81-1build3
libhtml-tagset-perl	3.20-6
libhtml-template-perl	2.97-2
libhttp-date-perl	6.06-1
libhttp-message-perl	6.45-1ubuntu1
libhyperscan5	5.4.2-2
libibverbs1	50.0-2ubuntu0.2
libice6	2:1.0.10-1build3
libicu74	74.2-1ubuntu3.1
libidn12	1.42-1build1
libidn2-0	2.3.7-2build1.1
libijs-0.35	0.35-15.1build1
libimath-3-1-29t64	3.1.9-3.1ubuntu2
libimobiledevice6	1.3.0-8.1build3
libinih1	55-1ubuntu2
libintl-perl	1.33-1build3
libintl-xs-perl	1.33-1build3
libio-html-perl	1.004-3
libip4tc2	1.8.10-3ubuntu2
libip6tc2	1.8.10-3ubuntu2
libisns0t64	0.101-0.3build3
libjansson4	2.14-2build2
libjbig0	2.1-6.1ubuntu2
libjbig2dec0	0.20-1build3
libjcat1	0.2.0-2build3
libjemalloc2	5.3.0-2build1
libjpeg-turbo8	2.1.5-2ubuntu2
libjpeg8	8c-2ubuntu11
libjq1	1.7.1-3ubuntu0.24.04.1
libjson-c5	0.17-1build1
libjson-glib-1.0-0	1.8.0-2build2
libjxr-tools	1.2~git20170615.f752187-5.1ubuntu2
libjxr0t64	1.2~git20170615.f752187-5.1ubuntu2
libk5crypto3	1.20.1-6ubuntu2.6
libkeyutils1	1.6.3-3build1
libklibc	2.0.13-4ubuntu0.1
libkmod2	31+20240202-2ubuntu7.1
libkrb5-3	1.20.1-6ubuntu2.6
libkrb5support0	1.20.1-6ubuntu2.6
libksba8	1.6.6-1build1
liblcms2-2	2.14-2build1
libldap-common	2.6.7+dfsg-1~exp1ubuntu8.2
libldap2	2.6.7+dfsg-1~exp1ubuntu8.2
liblerc4	4.0.0+ds-4ubuntu2
libllvm18	1:18.1.3-1ubuntu1
liblmdb0	0.9.31-1build1
